OrderID,OrderDate,Month,Region,Category,Channel,UnitPrice,Quantity,Revenue,DeliveryDays,Delayed,CustomerID,ChurnRisk
ORD100000,2025-02-02,2025-02,East,Electronics,Online,210.35309129719275,5,1051.77,5.7,1,261,Low
ORD100001,2025-10-10,2025-10,West,Apparel,In-Store,33.14544970269118,5,165.73,5.9,1,203,Low
ORD100002,2025-08-27,2025-08,South,Home & Kitchen,Online,65.57819750230061,4,262.31,5.6,1,288,Low
ORD100003,2025-06-10,2025-06,South,Apparel,Online,50.921441161723415,2,101.84,3.7,0,796,Low
ORD100004,2025-06-08,2025-06,West,Electronics,Online,273.3654287821924,4,1093.46,6.6,1,418,Low
ORD100005,2025-11-10,2025-11,South,Apparel,In-Store,55.31553198787127,3,165.95,3.3,0,378,High
ORD100006,2025-02-01,2025-02,East,Apparel,In-Store,49.88596993112347,5,249.43,3.7,0,701,Low
ORD100007,2025-09-12,2025-09,South,Electronics,In-Store,167.05275444009345,2,334.11,4.2,0,334,Low
ORD100008,2025-03-15,2025-03,North,Sports,In-Store,42.72612234180413,1,42.73,2.5,0,797,Medium
ORD100009,2025-02-04,2025-02,East,Apparel,Online,56.13746535564529,1,56.14,4.9,0,679,High
ORD100010,2025-07-12,2025-07,North,Home & Kitchen,Online,86.7650803146323,1,86.77,4.0,0,232,Low
ORD100011,2025-12-23,2025-12,North,Home & Kitchen,Online,99.83187775296443,4,399.33,4.3,0,567,Low
ORD100012,2025-09-26,2025-09,East,Beauty,Online,24.418557691067164,1,24.42,3.0,0,434,Medium
ORD100013,2025-10-05,2025-10,East,Electronics,In-Store,216.7431682987561,1,216.74,3.1,0,310,Low
ORD100014,2025-09-19,2025-09,West,Electronics,In-Store,295.55207021000786,2,591.1,2.9,0,815,Low
ORD100015,2025-10-14,2025-10,North,Apparel,Online,36.90533672428572,4,147.62,3.5,0,358,High
ORD100016,2025-07-07,2025-07,North,Apparel,In-Store,33.438097470095144,3,100.31,2.9,0,105,High
ORD100017,2025-02-16,2025-02,West,Apparel,In-Store,52.08422258912507,2,104.17,6.0,1,368,Medium
ORD100018,2025-11-03,2025-11,North,Sports,Online,66.97052630611377,2,133.94,3.4,0,465,Low
ORD100019,2025-06-14,2025-06,North,Electronics,Online,300.61269790209093,5,1503.06,1.1,0,114,Medium
ORD100020,2025-07-02,2025-07,North,Electronics,Online,293.59613684245085,3,880.79,5.4,1,668,High
ORD100021,2025-05-16,2025-05,South,Apparel,Online,55.10705729194798,2,110.21,5.7,1,207,High
ORD100022,2025-03-08,2025-03,West,Sports,Online,42.80460399088659,4,171.22,4.3,0,84,Low
ORD100023,2025-12-05,2025-12,East,Beauty,Online,31.088126336537766,2,62.18,3.5,0,484,Low
ORD100024,2025-10-13,2025-10,East,Sports,Online,79.63628133455562,2,159.27,2.9,0,145,Low
ORD100025,2025-08-24,2025-08,North,Home & Kitchen,Online,80.28446093441073,4,321.14,6.0,1,703,Medium
ORD100026,2025-05-27,2025-05,South,Sports,In-Store,82.41012022374576,2,164.82,4.6,0,62,Low
ORD100027,2025-10-28,2025-10,South,Home & Kitchen,In-Store,92.53932691606302,3,277.62,2.4,0,377,Low
ORD100028,2025-07-19,2025-07,North,Electronics,Online,170.8563976415903,4,683.43,4.1,0,47,Low
ORD100029,2025-06-11,2025-06,North,Home & Kitchen,Online,84.51923621045427,2,169.04,5.1,1,345,Low
ORD100030,2025-06-14,2025-06,South,Sports,Online,71.2159196970962,1,71.22,5.4,1,840,High
ORD100031,2025-03-24,2025-03,North,Apparel,Online,33.55912262554805,5,167.8,2.6,0,585,Low
ORD100032,2025-02-03,2025-02,East,Home & Kitchen,Online,75.30037379596297,2,150.6,2.8,0,482,Low
ORD100033,2025-07-22,2025-07,East,Apparel,Online,54.08805348620057,2,108.18,2.9,0,142,Medium
